parser,nodetype,tokenizepattern,parsepattern,primitivetype,nodegroup,precedence,subparser
JSON,Dot,\.,,,,,
JSON,Backslash,\\,,,,,
JSON,Slash,/,,,,,
JSON,DoubleQuote,"""",,,,,
JSON,Plus,+,,,,,
JSON,Minus,-,,,,,
JSON,IntegralPart,(?:0 | [1-9] [0-9]*),,,,,
JSON,FractionalPart,(?:Dot [0-9]+),,,,,
JSON,ExponentPart,(?:[e E] [Plus Minus]? [0-9]+),,,,,
JSON,NormalCharacter,[^ ControlCharacter DoubleQuote Backslash],,,,,
JSON,ControlCharacter,\x00-\x1f,,,,,
JSON,EscapeSequence,Backslash (?:[DoubleQuote Backslash Slash b f n r t] | UnicodeEscape),,,,,
JSON,UnicodeEscape,u[0-9 A-F a-f]{4},,,,,
JSON,Null,n u l l,,Null,,,
JSON,True,t r u e,,Boolean,,,
JSON,False,f a l s e,,Boolean,,,
JSON,LeftBracket,\[,,,,,
JSON,RightBracket,\],,,,,
JSON,LeftBrace,\{,,,,,
JSON,RightBrace,\},,,,,
JSON,Comma,",",,,,,
JSON,Colon,:,,,,,
JSON,Number,Minus? IntegralPart FractionalPart? ExponentPart?,,Number,,,
JSON,String,DoubleQuote (?:NormalCharacter | EscapeSequence)* DoubleQuote,,String,,,
JSON,WS,\s+,,,,,
JSON,Key,,(String) Colon,,,,
JSON,Member,,(Key Colon JSON),,,,
JSON,Object,,(LeftBrace (?:Member (?:Comma Member)*)? RightBrace),Object,,,
JSON,Array,,(LeftBracket (?:JSON (?:Comma JSON)*)? RightBracket),Array,,,
JSON,JSON,,([Object Array String True False Null Number]),,,,
