parser,nodetype,tokenizepattern,parsepattern,primitivetype,nodegroup,precedence,subparser
Rust,WhiteSpace,\s+,,,,,
Rust,InnerLineDocComment,//!.*,,,,,
Rust,InnerBlockDocComment,/\*![\s\S]*?\*/,,,,,
Rust,DocComment,///(?!/).*,,,,,
Rust,OuterBlockDocComment,/\*\*(?!\*)[\s\S]*?\*/,,,,,
Rust,LineComment,//.*,,,,,
Rust,BlockComment,/\*[\s\S]*?\*/,,,,,
Rust,DotDotDot,\.\.\.,,,,,
Rust,DotDotEq,\.\.=,,,,,
Rust,ShlEq,<<=,,,,,
Rust,ShrEq,>>=,,,,,
Rust,PlusEq,\+=,,,,,
Rust,FatArrow,=>,,,,,
Rust,RArrow,->,,,,,
Rust,LArrow,<-,,,,,
Rust,EqEq,==,,,,,
Rust,DotDot,\.\.,,,,,
Rust,Shr,>>,,,,,
Rust,Shl,<<,,,,,
Rust,Ge,>=,,,,,
Rust,MinusEq,-=,,,,,
Rust,PercentEq,%=,,,,,
Rust,StarEq,\*=,,,,,
Rust,SlashEq,/=,,,,,
Rust,AndEq,&=,,,,,
Rust,CaretEq,\^=,,,,,
Rust,OrEq,\|=,,,,,
Rust,Le,<=,,,,,
Rust,Ne,!=,,,,,
Rust,AndAnd,&&,,,,,
Rust,OrOr,\|\|,,,,,
Rust,ModSep,::,,,,,
Rust,Eq,=,,,,,
Rust,Semi,;,,,,,
Rust,LBrace,\{,,,,,
Rust,RBrace,\},,,,,
Rust,LParen,\(,,,,,
Rust,RParen,\),,,,,
Rust,LBracket,\[,,,,,
Rust,RBracket,\],,,,,
Rust,Comma,",",,,,,
Rust,Dollar,\$,,,,,
Rust,Colon,:,,,,,
Rust,Star,\*,,,,,
Rust,Not,!,,,,,
Rust,Dot,\.,,,,,
Rust,Lt,<,,,,,
Rust,Gt,>,,,,,
Rust,And,&,,,,,
Rust,Slash,/,,,,,
Rust,Pound,#,,,,,
Rust,Or,\|,,,,,
Rust,Plus,\+,,,,,
Rust,Minus,-,,,,,
Rust,Percent,%,,,,,
Rust,Question,\?,,,,,
Rust,Caret,\^,,,,,
Rust,At,@,,,,,
Rust,StrRaw,r (?:DOUBLE_QUOTE [\s\S]*? DOUBLE_QUOTE | # DOUBLE_QUOTE [\s\S]*? DOUBLE_QUOTE #),,,,,
Rust,Char,SINGLE_QUOTE (?:[^SINGLE_QUOTE BACKSLASH \n \r \t] | QUOTE_ESCAPE | ASCII_ESCAPE | UNICODE_ESCAPE) SINGLE_QUOTE,,,,,
Rust,Str_,DOUBLE_QUOTE (?:[^DOUBLE_QUOTE BACKSLASH] | QUOTE_ESCAPE | ASCII_ESCAPE | UNICODE_ESCAPE | STRING_CONTINUE)* DOUBLE_QUOTE,,,,,
Rust,Byte,b SINGLE_QUOTE (?:ASCII_FOR_CHAR | BYTE_ESCAPE) SINGLE_QUOTE,,,,,
Rust,ByteStr,b DOUBLE_QUOTE (?:ASCII_FOR_STRING | BYTE_ESCAPE | STRING_CONTINUE)* DOUBLE_QUOTE,,,,,
Rust,ByteStrRaw,b r (?:RAW_STRING_CONTENT | # RAW_STRING_CONTENT #),,,,,
Rust,abstract,a b s t r a c t,,,,,
Rust,offsetof,o f f s e t o f,,,,,
Rust,override,o v e r r i d e,,,,,
Rust,continue,c o n t i n u e,,,,,
Rust,alignof,a l i g n o f,,,,,
Rust,unsized,u n s i z e d,,,,,
Rust,virtual,v i r t u a l,,,,,
Rust,become,b e c o m e,,,,,
Rust,sizeof,s i z e o f,,,,,
Rust,typeof,t y p e o f,,,,,
Rust,extern,e x t e r n,,,,,
Rust,return,r e t u r n,,,,,
Rust,static,s t a t i c,,,,,
Rust,struct,s t r u c t,,,,,
Rust,unsafe,u n s a f e,,,,,
Rust,final,f i n a l,,,,,
Rust,macro,m a c r o,,,,,
Rust,yield,y i e l d,,,,,
Rust,break,b r e a k,,,,,
Rust,const,c o n s t,,,,,
Rust,crate,c r a t e,,,,,
Rust,false,f a l s e,,,,,
Rust,match,m a t c h,,,,,
Rust,super,s u p e r,,,,,
Rust,trait,t r a i t,,,,,
Rust,where,w h e r e,,,,,
Rust,while,w h i l e,,,,,
Rust,priv,p r i v,,,,,
Rust,pure,p u r e,,,,,
Rust,else,e l s e,,,,,
Rust,enum,e n u m,,,,,
Rust,impl,i m p l,,,,,
Rust,loop,l o o p,,,,,
Rust,move,m o v e,,,,,
Rust,self,s e l f,,,,,
Rust,Self,S e l f,,,,,
Rust,true,t r u e,,,,,
Rust,type,t y p e,,,,,
Rust,box,b o x,,,,,
Rust,for,f o r,,,,,
Rust,let,l e t,,,,,
Rust,mod,m o d,,,,,
Rust,mut,m u t,,,,,
Rust,pub,p u b,,,,,
Rust,ref,r e f,,,,,
Rust,use,u s e,,,,,
Rust,do,d o,,,,,
Rust,as,a s,,,,,
Rust,fn,f n,,,,,
Rust,if,i f,,,,,
Rust,in,i n,,,,,
Rust,Ident,[a-z A-Z _][a-z A-Z 0-9 _]*,,,,,
Rust,Lifetime,' [a-z A-Z _][a-z A-Z 0-9 _]*,,,,,
Rust,Float,DEC_LITERAL (?:FLOAT_EXPONENT FLOAT_SUFFIX? | \. DEC_LITERAL FLOAT_EXPONENT? FLOAT_SUFFIX? | \. (?![. _ a-z A-Z])),,,,,
Rust,Integer,(?:BIN_LITERAL | OCT_LITERAL | HEX_LITERAL | DEC_LITERAL) (?:INTEGER_SUFFIX | FLOAT_SUFFIX)?,,,,,
Rust,SINGLE_QUOTE,"'",,,,,
Rust,DOUBLE_QUOTE,"""",,,,,
Rust,BACKSLASH,\\,,,,,
Rust,QUOTE_ESCAPE,BACKSLASH [SINGLE_QUOTE DOUBLE_QUOTE],,,,,
Rust,ASCII_ESCAPE,BACKSLASH (?:x [OCT_DIGIT] [HEX_DIGIT] | [n r t BACKSLASH 0]),,,,,
Rust,UNICODE_ESCAPE,"BACKSLASH u \{ [HEX_DIGIT]{1,6} \}",,,,,
Rust,STRING_CONTINUE,BACKSLASH \n,,,,,
Rust,ASCII_FOR_CHAR,[\x00-\x08 \x0b-\x0c \x0e-\x26 \x28-\x5b \x5d-\x7f],,,,,
Rust,BYTE_ESCAPE,BACKSLASH (?:x [HEX_DIGIT]{2} | [n r t BACKSLASH SINGLE_QUOTE DOUBLE_QUOTE 0]),,,,,
Rust,ASCII_FOR_STRING,[\x00-\x21 \x23-\x5b \x5d-\x7f],,,,,
Rust,RAW_STRING_CONTENT,DOUBLE_QUOTE [\x00-\x7f]*? DOUBLE_QUOTE,,,,,
Rust,BIN_DIGIT,0-1,,,,,
Rust,OCT_DIGIT,0-7,,,,,
Rust,DEC_DIGIT,0-9,,,,,
Rust,HEX_DIGIT,0-9 a-f A-F,,,,,
Rust,INTEGER_SUFFIX,(?:[u i](?:8|16|32|64|128|s i z e)),,,,,
Rust,FLOAT_EXPONENT,(?:[e E] [+-]? [DEC_DIGIT _]* [DEC_DIGIT] [DEC_DIGIT _]*),,,,,
Rust,FLOAT_SUFFIX,(?:f32|f64),,,,,
Rust,DEC_LITERAL,[DEC_DIGIT] [DEC_DIGIT _]*,,,,,
Rust,BIN_LITERAL,0 b [BIN_DIGIT _]* [BIN_DIGIT] [BIN_DIGIT _]*,,,,,
Rust,OCT_LITERAL,0 o [OCT_DIGIT _]* [OCT_DIGIT] [OCT_DIGIT _]*,,,,,
